Geography,Area,Area code,Year,theme,Mean disposable household income,Income 1st quintile,Income 2nd quintile,Income 3rd quintile,Income 4th quintile,Income 5th quintile,Gini coefficient,Gini coefficient capital,% Minimum income households (130% sm and little capital),% Long-time minimum income (130% sm and little capital),% Low income households (130% sm),% Minimum income youth (130% sm and little capital),% Minimum income 18-65 (130% sm and little capital),% Minimum income 66+ (130% sm and little capital),% Long-time minimum income youth (130% sm and little capital),Househoulds children social welfare benefits,% Househoulds children social welfare benefits,Disability benefits,Disability benefits (%),Unemployment benefits,Unemployment benefits (%),% economically independent men,% economically indepdent women,Social welfare,Social welfare (%)
Wijken,Nieuwendammerdijk/Buiksloterdijk,NF,2021,Income,83500,6,9,14,17,54,0.354,0.511,2,-,4,-,-,-,-,-,-,30,2.8,30,2.8,72,70,-,-
Wijken,Elzenhagen,NG,2021,Income,49600,33,16,11,12,28,0.399,0.744,19,4,21,5,13,13,1,20,3.7,100,3.7,80,2.9,62,67,-,-
Wijken,Buikslotermeer,NH,2021,Income,36300,32,26,21,13,8,0.309,0.789,21,14,27,33,18,21,23,225,21.8,450,6.1,240,3.3,58,44,-,-
Wijken,Waterlandpleinbuurt,NJ,2021,Income,39600,27,24,22,16,11,0.321,0.812,20,12,24,26,16,18,16,295,17.3,610,6.6,310,3.4,59,47,-,-
Wijken,Volewijck,NK,2021,Income,34200,40,25,16,11,8,0.329,0.86,30,19,35,34,22,36,23,265,22.9,610,9,250,3.7,56,46,-,-
Wijken,IJplein/Vogelbuurt,NL,2021,Income,36100,39,23,18,12,9,0.353,0.857,28,18,33,33,20,41,22,175,21,530,8.9,220,3.7,57,49,-,-
Wijken,Tuindorp Buiksloot,NM,2021,Income,37200,34,22,19,15,10,0.326,0.821,22,15,29,31,15,24,22,30,14.6,140,11,50,3.9,61,53,-,-
Wijken,Tuindorp Nieuwendam,NN,2021,Income,37700,33,26,18,12,11,0.322,0.784,20,12,26,18,13,21,12,50,12.8,210,9.7,70,3.2,64,55,-,-
Wijken,Noordelijke IJ-oevers-Oost,NP,2021,Income,32200,41,23,20,9,7,0.395,0.867,13,-,20,-,12,-,-,-,-,-,-,-,-,67,51,-,-
Wijken,Waterland,NQ,2021,Income,89000,14,12,18,16,40,0.53,0.588,5,1,11,-,3,-,-,-,-,70,4.6,30,2,69,66,-,-
Wijken,Driemond,SA,2021,Income,53600,15,18,18,23,26,0.33,0.689,6,4,11,7,4,5,6,10,4.6,40,3.7,40,3.7,74,62,-,-
Wijken,Amstel III/Bullewijk,TA,2021,Income,29600,52,34,-,-,3,0.373,0.904,20,2,24,-,19,-,-,-,-,20,1.3,30,1.9,46,38,-,-
Wijken,Venserpolder,TB,2021,Income,32400,40,25,19,11,5,0.313,0.818,26,16,30,31,18,45,22,175,21.9,440,6.8,280,4.3,61,52,744,11.5
Wijken,Amsterdamse Poort e.o.,TC,2021,Income,35800,37,27,16,11,10,0.342,0.845,24,12,26,24,17,38,14,130,17.1,320,4.7,230,3.4,53,49,547,8.1
Wijken,H-buurt,TD,2021,Income,30800,45,26,16,9,5,0.313,0.894,34,21,37,46,26,42,31,310,36.1,320,5.5,250,4.3,51,40,832,14.3
Wijken,Ganzenhoef e.o.,TE,2021,Income,39100,36,21,17,14,14,0.366,0.809,23,11,26,21,15,33,12,150,16.4,290,5,220,3.8,60,54,557,9.6
Wijken,Geerdinkhof/Kantershof,TF,2021,Income,40100,31,19,20,17,13,0.339,0.697,18,8,21,8,10,22,3,30,4.8,180,3.8,150,3.2,64,59,154,3.3
Wijken,Bijlmermuseum,TG,2021,Income,29900,45,26,16,9,4,0.296,0.89,35,22,38,46,26,52,29,285,31.8,430,7.7,340,6.1,54,44,884,15.7
Wijken,K-buurt,TH,2021,Income,37000,37,20,18,14,11,0.345,0.811,25,11,30,18,15,42,9,135,13.7,290,5.6,240,4.7,59,54,415,8.1
Wijken,Holendrecht,TJ,2021,Income,35000,36,24,20,13,7,0.309,0.849,29,17,33,32,20,31,21,285,23.9,460,7.5,250,4.1,53,48,753,12.3
Wijken,Nellestein,TK,2021,Income,38600,26,25,24,16,9,0.311,0.698,10,6,15,14,7,12,9,20,7.1,90,4.4,80,3.9,72,64,-,-
Wijken,Reigersbos,TL,2021,Income,36900,32,23,20,15,9,0.313,0.764,20,11,25,21,14,21,14,135,15.4,540,9.1,260,4.4,62,55,485,8.1
Wijken,Gein,TM,2021,Income,40200,29,21,21,18,12,0.321,0.737,18,9,22,20,12,18,12,165,13.4,580,7.4,320,4.1,62,55,-,-
Wijken,Coenhaven/Minervahaven,BB,2021,Income,-,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-
Wijken,IJburg-Oost,MK,2021,Income,-,-,-,-,-,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
